2018-08-05 12:08:14 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:08:41 [INFO] RequestFilter time consume: 27365, method: GET, uri:/get/image/urls
2018-08-05 12:08:41 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:09:07 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:09:08 [INFO] RequestFilter time consume: 752, method: GET, uri:/get/image/urls
2018-08-05 12:09:08 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:09:16 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:09:16 [INFO] RequestFilter time consume: 42, method: GET, uri:/get/image/urls
2018-08-05 12:09:16 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:10:40 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:10:41 [INFO] RequestFilter time consume: 649, method: GET, uri:/get/image/urls
2018-08-05 12:10:41 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:10:51 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:10:51 [INFO] RequestFilter time consume: 36, method: GET, uri:/get/image/urls
2018-08-05 12:10:51 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:11:27 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:11:27 [INFO] RequestFilter time consume: 39, method: GET, uri:/get/image/urls
2018-08-05 12:11:27 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:14:32 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:14:32 [INFO] RequestFilter time consume: 15, method: GET, uri:/get/profile/url
2018-08-05 12:14:32 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:14:37 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:14:37 [INFO] RequestFilter time consume: 1, method: GET, uri:/get/profile/url
2018-08-05 12:14:37 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:18:25 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:18:25 [WARN] [FutureUtil] futureList inner, getFutureResult timeout [MySQLDao] getProfileUrls
2018-08-05 12:18:25 [INFO] RequestFilter time consume: 145, method: GET, uri:/get/profile/url
2018-08-05 12:18:25 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:18:48 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:20:20 [WARN] [FutureUtil] futureList inner, getFutureResult timeout [MySQLDao] getProfileUrls
2018-08-05 12:20:20 [INFO] RequestFilter time consume: 92118, method: GET, uri:/get/profile/url
2018-08-05 12:20:20 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:21:53 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:22:03 [WARN] [FutureUtil] futureList inner, getFutureResult timeout [MySQLDao] getProfileUrls
2018-08-05 12:22:05 [INFO] RequestFilter time consume: 11436, method: GET, uri:/get/profile/url
2018-08-05 12:22:05 [INFO] logging filter, method: GET, uri:/get/profile/url
2018-08-05 12:25:43 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:25:43 [INFO] RequestFilter time consume: 64, method: GET, uri:/get/image/urls
2018-08-05 12:25:43 [INFO] logging filter, method: GET, uri:/get/image/urls
2018-08-05 12:26:19 [INFO] logging filter, method: GET, uri:/get/image/urls
